Source,Target
丹毒,产后瘀滞腹痛
神志模糊,神智不清
疖肿,石淋
咳嗽,附骨疽
喉风喉痹,咽喉肿痛
中风口眼歪斜,跌打损伤
烫火伤,咽喉红肿
水肿,乳汁不下
痢疾,肾虚作喘
阴部水疱,水
吞咽困难,咽
关节疼痛,尿血
食少便溏,咯血
血痢,高血压
带下,胎衣不下
方形头,头
肢体麻木,牙龈肿痛
产后腹痛,咽痛
鼻咽,跌打损伤
白带,风热感冒
鼻衄,痈肿疮疖
跌打瘀痛,癫痫
冻疮,半身不遂
虚热烦渴,黄疸
牙痛,阴囊湿痒
痈肿疮疖,关节肿痛
疮痈,百日咳
寒湿脚气,痛经
鼻衄,带状疱疹
湿疹,宿食不化
痈肿恶疮,小便不利
伤寒高热,风湿痹痛
咽喉肿痛,痰黄质稠
胁肋胀痛,湿疹
胃脘部嘈杂,嘈心
风寒湿痹,痔疮肿痛
疮肿,跌打骨折
疮疡肿毒,小便淋浊
蛇虫咬伤,阳痿遗精
跌打瘀肿,蛇伤
胸闷,牙痛
瘰疬,感冒发热
背部酸胀,部
崩中漏下,衄血
跌打损伤,咳逆痰喘
痔疮,心烦
月经不调,四肢无力
痢疾,麻疹身热不退
面部发热,发
痢疾,胸闷纳呆
带下黑,带下色黑
腹泻,咳嗽多痰
肿毒疮疡,跌打损伤
风寒感冒,不思饮食
痢疾,臌胀
白带过多,脱肛
烫伤,肠痈
疮痈肿毒,血淋
反胃,崩漏
痰热咳嗽,风寒感冒
子宫出血,肺热咳嗽
脓疱疮,咳血
尿血,溃疡不敛
吐血,阴虚劳热
疮疖肿毒,小便涩痛
口舌生疮,腹水
骨蒸潮热,遗精
小便淋痛,痛经
崩漏,更年期综合征
头部破溃,部
跌打,目赤肿痛
咽喉肿痛,筋骨痿弱
汤火灼伤,水肿
胃脘痛,肠风下血
劳嗽,黄疸
有经不调,疮肿
头痛鼻塞,咽喉肿痛
皮肤溃疡,目赤肿痛
胸部不适感,不
小便不通,小
一月经再行,经期赶前
泻痢,淋证
便血,噤口痢
小便不利,痈疽疔毒
上肢出血,血
痢疾,多尿
风湿痹痛,外伤痛
劳伤疼痛,痈肿
浮肿,血淋
崩漏下血,小儿疳积
疮疡,血淋
虚劳赢瘦,风湿痹痛
小儿疳积,金疮出血
健忘,好忘
右侧小腹发胀,发
泄泻,气虚体弱
下颌麻木,颌
烫伤,哎吐泄泻
痢疾,丹毒
疔疮肿毒,秃疮
胸部紧压感,胸
须发早白,痛经
湿热泻痢,神经衰弱
疝痛,闭经
黄疽,经闭
中暑烦渴,痛经
小儿疳积,肺燥咳嗽
便血,伤食纳少
痈疡,牙痛
痢疾,屈伸不利
肝热头痛,目赤肿痛
疮痈肿毒,尿路结石
筋伤骨折,小便不利
无名肿毒,湿热痢疾
跌扑伤痛,外伤出血
痫证,咽喉肿痛
扭挫伤,小便不利
腰部沉重,腰
跌打损伤,视物不明
隐痛,痛
消化不良,风疹瘙痒
头皮麻木,头
风湿疼痛,麻疹
感冒,斑疹不透
肠痈,惊痫
胸膈满闷,吐血
劳伤腰痛,脚气
痈肿疮毒,痔疮肿痛
月经不调,痰多
红斑,斑
痰核流注,流
足膝痿弱,膝
瘀血肿痛,疝气
剑突下烧灼感,烧
跌打损伤,咽喉糜烂
小便不利,破伤风
痢疾,蛇虫螫伤
阴脱,阴痔
痢疾,单麻疹
咽喉肿痛,雀目
妊娠腹痛,腹
恶疮肿毒,疟疾
泻血,泻
痔疮,泄泻痢疾
脚气,目赤障翳
跌打损伤,色红瘙痒
疮疖肿毒,外伤出血
咳嗽,久疟
泄泻,扭伤
肠风便血,疮疖
足关节红肿,肿
暴心气痛,痢疾
淋痛,血淋
高血压,高热
痢疾,皮肝风毒肿痛
跌打肿痛,疮毒
风寒湿痹,心悸
疟疾,疳积
烫伤,齿痛
消渴,乳少
小便量多,多
湿热黄疸,痈疖肿毒
泄泻,产后恶露不尽
肺热咳喘,痈肿
颈部肿大,颈部肿
肺热燥咳,湿疹
叶血,疮疖肿毒
胃溃疡,湿热痢疾
毒蛇咬伤,食减便溏
皮肤瘙痒,痈疖
肺脓肿,带下
脚气,麻风
跌打损伤,心悸
风湿痹痛,带状疱疹
水肿,虚咳喘促
牙痛,吐泻腹痛
胃肠气胀,跌打损伤
无名肿毒,细菌性痢疾
风湿痹痛,疮疡初起
齿衄,齿
风湿痛,月经过多
吐血衄血,跌打肿痛
视力模糊,视
下肢僵硬,硬
牙痛,麻疹不透
伤风感冒,小儿疳积
血崩,泄泻痢疾
食积,刀伤出血
夏季感冒,肺热咳嗽
腹痛,肺热喘咳
经质稠浊,月经质稠
湿热泻痢,食积腹胀
瘰疬痰核,痈疮肿毒
小便不利,咳嗽痰多
烫伤,痰饮
泄泻,血痢
跌打损伤,瘰疬溃破不敛
关节肿痛,蛇咬伤
肝胃气痛,跌打损伤
毒蛇咬伤,翳障
左侧肢体震颤,左侧肢体抖动
咳嗽,阴疽肿毒
风湿痹痛,乳汁环下
淋浊带下,痈疽肿毒
顽痰咳喘,湿疹
月经不调,身热烦渴
血淋,虚劳咳嗽
小便涩痛,血淋
虚劳,咳血
月经不调,品舌出疮
跌打损伤,肝肾不足
头风,风热感冒
右肩疼痛,肩
疝气,血淋
带下不止,带
水肿,痛疽肿毒
痢疾,疼痛
胃火牙痛,外伤出血
疟疾,刀伤出血
肩痛,肩胛部疼痛
尿中带泡沫,小便泡沫
四肢怕冷,怕
小便不通,肺热咳嗽
痢疾,筋骨拘挛
胃痛,阳痿
瘀滞经闭,毒蛇咬伤
疮痈肿毒,小儿疳积
下肢肿块,肿
夜盲,脱肛
风湿痹痛,痰多咳喘
跌打损伤,虚痨咳嗽
尿潴留,潴
泻痢,喉痹
小便淋沥不尽,不
心烦不眠,衄血
关节肿痛,烫火伤
左侧肢体紧胀,体
下肢皮肤瘙痒,肤
痢疾,斑疹不透
右侧肢体不自主震颤,自
右侧肢体不自主震颤,体
疮疡痔瘘,跌打损伤
风湿骨痛,脘腹冷痛
风湿痹痛,痨热咳嗽
痢疾,津少口渴
眼眶胀,胀
咯血,腰痛
月经不调,滑精
惊风癫痫,咯血
水火烫伤,发热
痢疾,痨热咳嗽
疖肿疮疡,咽喉肿痛
疔疮,赤白带下
咳嗽,雀目
风湿痹痛,劳伤身疼
痢疾,赤痢后重
热毒疮疡,胃痛
风湿痹痛,久泻
咽喉肿痛,肝阳眩晕
尿路感染,风湿热痹
痔疮,子宫出血
后背紧缩感,背
双肘部疼痛,部
疹,小便不利
产后抽风,外伤出血
脘腹疼痛,痈肿疮毒
小儿热惊,痛经
痈疽,食物中毒
左上腹部疼痛,部
蛇咬伤,脘腹冷痛
痢疾,胀满
痈疖肿毒,痄腮
菌痢,烫火伤
小便不利,腹痛泄泻
黄水疮,疮疡肿痛
心悸,痈疖肿毒
赤白带下,消渴
疝气,泄泻痢疾
牙痛,湿热淋证
风湿腰痛,痈疮肿毒
左侧肢体紧胀,肢
反胃,吐血
血痢,寒湿痹痛
胃痛,胸腹胀痛
头晕目眩,跌打伤痛
疮痈,痈疖肿毒
风湿痹痛,虚热烦烦倦
风寒湿痹,寒疝腹痛
外伤出血,筋脉挛急
浮肿,子宫脱垂
疮痈肿毒,疮毒
疮疖肿毒,腰膝酸痛
无排气,无
伤风,风
气虚乏力,肺热咳嗽
食物中毒,痈肿
难产,痈疮肿毒
痈肿,消化道出血
跌打损伤,疮产怕痈肿
寒湿脚气,吐血
难产,毒蛇咬伤
骨折,心腹痛
口黏腻,口
皮肤渗液,渗
伤风感冒,小便不利
产后腹痛,久泻
久痢,疮疖
剑突部疼痛,疼
跌打扭伤,痈疽肿毒
风湿痹痛,风水浮肿
痈肿疮疖,喉痹
呕吐,呕
溺浊,遗浊
头晕,咽痛
儿啼,啼
痈疽,中暑
跌打损伤,久泻脱肛
跌打损伤,泻痢后重
皮肤瘙痒,血崩
崩漏,膀胱结石
虫积腹痛,寒疝腹痛
水肿,跌扑损伤
牙痛,心绞痛
痈肿疮毒,呕血
自汗,腹痛
水肿,心烦
痢疾,瘘疮
吐血,有经过多
头部昏蒙不适,头昏不适
皮肤溃疡,乳痈
热毒疮疡,石淋
尿血,久痢
经闭,溃疡
右侧偏身麻木,身
大便秘结,跌打损伤
肢体麻木,咳血
消化不良,淋巴结结核
水火烫伤,痈肿
小儿疳积,热毒疮肿
水肿,创伤
酒皶鼻,肺热咳嗽
经闭腹痛,痔疮
跌打损伤,湿热身肿
梦遗滑精,瘰疬
小儿低热,儿
痢疾,目疾
心前区灼热感,心前区灼热
人工流产术后阴道异常出血,人
狂犬咬伤,目赤肿痛
风疹,腰腿痛
风寒痹痛,风湿痹痛
狂犬咬伤,阳痿
水火烫伤,食积腹胀
吐血,血热吐血
消渴,寒疝疼痛
感冒,尿路感染
白喉,高血压
手足麻木,骨折
血虚萎黄,脱肛
跌打损伤,中暑高热
寒湿小便淋沥浑浊,风湿痹痛
消化不良,呕吐反胃
小便不利,呕吐泄泻
湿疹,小儿疳疾
妇女白带,肺热咳嗽
跌打瘀肿,遗精
虫咬伤,风热感冒
失眠,水火烫伤
跌打损伤,跌打损伤骨折筋伤
上胞下垂,下
全身水肿,水
尿血,久泻
月经不调,膀胱结石
噎膈,阳痿
高脂血症,湿疹
跌打损伤,骨咽喉
咳嗽,痢疾腹痛
毒蛇咬伤,风热赤眼
喉痛,外伤出血
毒蛇咬伤,急慢性菌痢
感冒,麻疹
肩部胀,胀
腰膝酸痛,腰
痰热咳嗽,咽痛
子宫脱出,脱
胃气痛,疮毒
鼻梃,梃
产后腹痛,胎动不安
痢疾,恶疮肿痛
风湿痹痛,肾绞痛
头晕目眩,蛇虫咬伤
白带,腹水
无名肿痛,骨折
跌打损伤,多发性痈肿
右侧肢体不自主运动,主
吐血,虚劳咯血
颈项强直,直
脚气,肺虚久咳
咳嗽,疮疡久不收口
内伤出血,衄血
跌打损伤,四枝麻木
高血压,刀伤出血
泄泻,下肢水肿
噤口,口
跌打瘀肿,疮疡
小儿头疮,蛇咬伤
左侧上下肢发木,左半身麻木
妇女崩漏,口疮
咽喉肿痛,须发早白
虚咳,咽喉肿痛
虚热烦渴,痈肿
风湿痹痛,寒疝痛
咽喉肿痛,胃热吐血
蛇虫咬伤,乳汁不通
跌打损伤,痈肿疮疡
湿疹,牙龈出血
水肿,主治温热
躯干皮疹,疹
肠痈,湿疹瘙痒
产后便血,产
风湿痹痛,惊痫痰迷
暑热烦渴,痈肿
咯痰不爽,咳嗽
痢疾,鼻中息肉
咯血,吐泻
头目眩晕,痈肿疮毒
带下,痔疮
关痛,咽喉肿痛
疮毒肿痛,痛经
月经不调,脘腹胀满
疖肿,食积
牙痛,胸中痰饮积聚
失眠,口渴
痔血,咽喉肿痛
牙痛,牙
咳嗽,疔肿
嘈心,胃部嘈杂不适
月经不调,湿热淋证
血痢,脘腹胀痛
痈肿疔疮,遗精
跌打瘀痛,毒蛇咬伤
下肢酸,肢
崩漏,惊痫
皮肤瘙痒,闭经
视物模糊,风湿痹痛
大便次增多,多
痢疾,蝎螫伤
小便淋沥不尽,淋
反胃,疝气
黄疸,目昏
跌打损伤,风疹发痒
肿毒,疮疖
痛疮肿毒,咽喉肿痛
胸膈气滞,膈
小便淋痛,刀伤出血
肢体疼痛,痛
跌打损伤,暑湿
湿热黄疸,寒疝疼痛
血崩,目赤肿痛
足潮红,红
悲观,观
上呼吸道感染,经闭
黑带,带下色黑
外伤出血,蛇咬伤
不能阅读,不
食积,牙龈肿痛
便血,痰热咳喘
发斑,咯血
肠痈,食积
痈疽发背,脘腹冷痛
胃溃疡,咳喘
冻疮,痔疮出血
四肢不自主震颤,四
喉蛾,衄血
少食,少
崩漏,小儿口疮
湿疹,风湿性关节痛
肝热惊痫,外伤出血
无名肿毒,脘腹痛
湿疹瘙痒,疮疖
咽喉肿痛,短气脉虚
跌打损伤,寒嗽
肌肤麻木,木
四肢麻木,脱肛
疮疡溃烂,疮肿
失眠,感冒发热
小儿口疮,牙痛
瘰疬,亲疮肿毒
胃痛,风火牙痛
风湿痛,湿热泄泻
水肿,目赤红肿
健忘,跌打肿痛
疮痈肿痛,疮疖
目翳,尿路感染
跌打损伤,口面歪斜
吐血,跌打瘀肿疼痛
经水不止,经血不断
失眠,瘰疬
跌打损伤,惊悸怔仲
暑热烦渴,消化不良
骨折,脱肛
月经不调,中暑
大便秘结,水肿胀满
痰热咳嗽,遗精
胃痛,肺势咳嗽
便血,胆石症
食滞,黄疸
食积腹胀,百日咳
心腹腰膝诸痛,瘰疬
呕吐,浮肿
脐下悸动,悸
急性菌痢,黄疸
咳血,疮疡
咳嗽,咽喉痛
下肢溃疡,哮喘
痢疾,内出血
咳嗽气喘,淋证
咳喘,感冒咳嗽
疔疮,感冒咳嗽
饮食不化,食
月经不调,便秘
跌打伤肿,跌打瘀痛
脾虚泄泻,跌打肿痛
骨结核,乳痈
热淋石淋,咽喉肿痛
跌打损伤,小儿麻痹后贵症
烫伤,久咳
跌打损伤,小儿鼻下两旁生疮
咽喉肿痛,劳嗽咳血
劳伤咳嗽,痈肿
乏力明显,明
脚气,尿频
金创出血,外伤出血
暮食朝吐,食
痈肿毒疮,咽喉肿痛
肺痈,小便短赤
瘀血经闭,骨折
白浊,食物中毒
风湿痹痛,痔痿
牙痛,乳痈
梅毒,黄疸
白带,噎膈
寒疝腹痛,痈疮肿毒
皮肤色黑,肤
风寒感冒,食欲不振
冻疮,风寒感冒
白带,赤眼
黄疽,疟疾
月经不调,脘腹寒痛
湿热黄疸,肺燥咳嗽
血崩,疮疖肿痛
白浊,疮肿
月经不调,小便淋沥涩痛
风湿痹痛,肾虚
跌打损伤,老年性血管硬化
独语,独
风湿关节疼痛,腹泻
烫伤,泻痢
喉痹,喉
咳血,汤火伤
崩漏,倒经
痧气腹痛,热淋
虫积腹痛,尿路感染
痢疾,气虚乏力
关节疼痛,痈肿疮毒
排气减少,气
水肿,痈疡肿毒
痔疮,疔毒
泄泻,痰饮咳喘
跌打损伤,肾虚牙痛
腰部不适,不
风湿痹痛,小获麻痹后遗症
牙疳,哮喘
足紫绀,紫
疮毒痈肿,水肿
虫咬伤,水肿
肝热目赤,无名肿毒
水肿,食滞不化
肛门肿痛,外伤出血
目翳,肿毒
恶疮肿毒,烫火伤
胸痹心痛,黄疸
湿热带下,肺热咳喘
头虱,目赤肿痛
遗精,吐泻腹痛
头中鸣响,鸣
下肢静脉曲张,脉
痔疮,汤火伤
胃痛,烦热口渴
痢疾,内热消渴
短气,气
月经不调,胃寒呕逆
小便不利,风湿腰痛
毒蛇咬伤,跌仆损伤
咯血,鹤膝风
烦渴,口疮
痰多咳嗽,痰
白带,妇女白带
湿热疮毒,风湿痹痛
湿热黄疸,痈疽疮疖
疮疡溃烂,咽喉肿痛
破伤风,疮疖
流行性感冒,乳痈
水肿尿少,肺热咳嗽
阴疽流注,外伤出血
泄泻,肝硬化
咽喉肿痛,喘息
便血,胸骨痛
先兆流产,外伤出血
呕吐,阴痒
水肿,胃脘疼痛
恶心呕吐,疝气
湿热黄疸,咳嗽
眩晕,疮疡
皮肤瘙痒,咯血
月水不绝,经来不止
噎膈,高血压
疮疡肿毒,惊痫抽搐
偏头痛,咯血
尿血,膨胀
胃脘寒痛,咽喉肿痛
血瘀肿痛,痛经
腹部拘急,急
咳嗽不止,止
湿毒疮疡,目赤肿痛
黄疸,小便淋痛
产后瘀滞腹痛,疮肿
经行时间延长,间
中暑,咳嗽痰多
小便淋涩,乳痈
烦渴,百日咳
风寒感冒,心烦失眠
心前区憋闷不适,憋
肩部肿物,物
经闭,痛经
惊悸,月经不调
瘰疬,戴阳
痈疽,咽喉肿痛
消谷善饥,饥
烫伤,梅毒
破伤风,创伤出血
水肿,头痛鼻塞
疮疖肿毒,腰膝酸软
吐血,食物中毒
心前区疼痛,疼
泄泻,小儿急惊风
月经不调,头痛
痢疾,主治肺热咳嗽
小便淋涩,喉痹
劳伤乏力,黄疸
咳嗽,疝气腹痛
全身水肿,身
目赤,热淋
狂犬咬伤,麻疹
脾虚泄泻,百日咳
风湿痹痛,痰饮咳逆
足底踩棉感,感
下肢活动不利,动
肠风下血,经闭
股部红肿,肿
烫伤,便血
水肿,蜂螫虫咬
疖肿,湿热泻痢
痈肿,腰膝酸冷
便血,小儿急惊
胃痛吐酸,吐血
腰腿痛,肺结核
胃气痛,小儿疳积
肺痈,健忘
痢疾,痛疸
痛经,痛
阴虚咳嗽,毒蛇咬伤
腹水,痈疽肿毒
双下肢站立不稳,下
丹毒,烫火伤
风湿痹痛,各种神经性疼痛
妇女闭经,湿疹
小便不利,痈疖肿毒
哮喘,黄疸
风湿关节痛,脘腹冷痛
痔漏,刀伤出血
泄泻,咯痰不爽
咳嗽,刀伤出血
疝痛,疔疮肿毒
风湿骨痛,淋痛
疮疖,气喘
上腹部痛,上
痢疾,疮痈疖肿
上腹部疼痛不舒,不
内外伤出血,肺热咳嗽
反胃吐食,痢疾
跌打损伤,顽固性头痛
带下,喉痹
感冒,小便淋浊
水泻,瘰疬
腰部感觉异常,常
预防感冒,外伤出血
瘫痪,便血
血瘀经闭,脱肛
湿热泄泻,痔血
痈肿疮疡,咽痛
风疹,皮肤湿疹
翳膜遮睛,风湿骨痛
霍乱,外伤出血
膨胀胀痛,跌打损伤
视物模糊,黄疸
胸腹胁肋诸痛,瘰疬
痢疾,龈肿
咳嗽,咳嗽痰喘
昏不识人,失神
唇疔,唇
肢体麻木,虚劳咳嗽
功能性子宫出血,牙痛
带状疱疹,淋痛
人工流产术后阴道异常出血,道
水火烫伤,甲状腺肿
咽肿,湿疹
盗汗,癫狂
漆疮,痈肿疮疡
心悸,目赤
咳血,喉痛
小便淋涩,风湿痹痛
风湿性关节痛,咯血
风湿关节痛,麻风
烫伤,小儿疳热
瘰疬,气虚乏力
腹泻,破伤风
下肢溃疡,湿疹
产后恶露不尽,消化不良
高血压,感冒发热
虫积腹痛,外伤出血
声音重浊,重
泻痢,刀伤
痈肿疔毒,失眠
四肢肢体肿胀,胀
气短乏力,外伤出血
风湿痹痛,痰火瘰疬
跌打肿痛,细菌性痢疾
风寒感冒,肺结核
痈肿疮毒,喉痛
溏结不调,不
湿温,温
胸脘满闷,胸
淋痛,疮疡
大便黏液,大
烧烫伤,腹痛泄泻
肛周脓肿,脓
崩漏,鼻疳
烧烫伤,头风
下腹部包块,下
毒蛇咬伤,鼻渊
瘰疬结核,尿血
血痢,恶疮
痔血,哮喘
闭经,痈疖肿毒
咳嗽,乳汁不足
眼生翳障,障
肢体麻木,痔疮出血
半身不遂,黄疸
脐周发凉感,脐
产后瘀血,后
心悸不宁,心悸
皮肤瘙痒,虚劳咳嗽
烧伤,恶疮
风湿腰腿痛,水肿
四肢软弱,咽喉肿痛
咳血,目赤翳障
动脉粥样硬化,小便不利
足肿,足
水肿,跌打瘀血
痈疽,食积
胆道感染,月经不调
恶心呕吐,消渴
血淋,血
癫狂,哮喘
痈肿,食积胀满
疔毒,黄疸
头风痛,衄血
热结便秘,热淋
跌打损伤,鱼肉菜毒
跌打损伤,梅毒
风湿骨痛,吐血
脘腹胀痛,风火赤眼
白带,流脑
痔漏,痄腮
膏淋,跌打损伤
跌打损伤,恶疮痈肿
痢疾,外感头痛
水肿,痔漏下血
肺虚久咳,热淋
痢疾,倒经
疔疮肿毒,痈肿
神经衰弱,痈疮肿毒
虫咬伤,烫火伤
风寒湿痹,头痛眩晕
风湿痹痛,痈疖
泄泻,痰热咳嗽
风湿关节痛,乳痈
胃痛,产后血瘀腹痛
风湿痹痛,益气宜脾
跌打瘀痛,肺痈
痢疾,疝气腹痛
泄泻,咳嗽多痰
翳膜内障,风湿痹痛
崩漏,久痢不止
骨折,痈疽
月经过少,过
烧伤,肠风下血
外感咳嗽,肺热咳嗽
血痢,烂弦风眼
循衣摸床,衣
头风,目赤肿痛
食欲不振,须发早白
带下,鼻渊
胸腹胀满,痛经
喉蛾,外伤出血
小便不通,淋浊
久泻不止,痛经
胆道感染,带下
小儿异嗜,小
痈肿疮毒,泄泻痢疾
结核,外伤出血
无排便,排
积痢,衄血
剑突下胀满不适,满
丹毒,痈疽疮肿
痢疾,肺痛咳血
外伤出血,白秃疮
下痢后重,黄疸
风湿痹痛,跌打
头虱,牙痛
牙疳,腰痛
痰饮喘咳,腹痛
痢疾,热结便秘
痢疾,暑湿吐泻
肠风下血,疮疡肿痛
血热吐血,小便不利
风寒感冒,口渴
白浊,感冒头痛
泌尿系统感染,毒蛇咬伤
目翳,尿血
小便癃闭,癃
口舌生疮,喉痛
跌打瘀痛,腹泻
毒虫螫伤,口疮
四肢麻木,痛经
四肢不自主震颤,主
身目俱黄,俱
心前区紧缩感,缩
便血,痈疮疔疖
双上下肢无力,下
颈部僵硬,颈
蜈蚣咬伤,尿路感染
风疹,白浊
牙疳,目赤
蛇咬伤,心胃气痛
大便色白,便
咽痛,感冒头痛
水肿,风湿感冒
鼻衄,脾胃虚弱
白带,劳伤
风湿痹痛,宿食不化
鼻孔色黑,色
白带,食积停滞
水火烫伤,神经衰弱
胞衣不下,乳痈
遗尿,咯血
肺痈吐脓,跌打损伤
有经不调,跌打骨折
哮喘,跌打骨折
包皮疣状物,皮
十二指肠溃疡,痈疽肿毒
痈肿疮毒,肺热咳嗽
风寒头痛,黄疸
胎动不安,脱肛
小便涩痛,蛇咬伤
骨折,新久咳嗽
胎衣不下,息胞
寒湿脚气,痈肿疮毒
痢疾,外感风热咳嗽
烫伤,胃痛
疮疡肿毒,溃疡不敛
血滞经闭,痈疽肿毒
跌打损伤,肝郁胁痛
二便不通,水肿
泄泻,月经不调
风湿痹痛,胸闷
肝胃气痛,吐血
咳血,潮热
砂淋,痄腮
疮痈肿痛,跌打伤痛
运动性失语,动
痰中带血,百日咳
脘腹胀痛,口渴
虚肿,风湿痹痛
腰腿痛,脘腹胀痛
腹痛吐泻,黄疸
痈肿疔疮,腰痛
皮肤鳞屑,皮
小便不利,腰脚冷痹
上热下寒,外伤出血
小儿疳积,心胃气痛
喘咳气逆,咳
久痢,瘰疬
痿痹,咳嗽
痈肿疔疮,食欲不振
热毒血痢,痈肿疮毒
痈疽肿毒,肿毒
崩漏,腹泻
食积,目赤肿痛
肛门下坠感,肛
带下,恶露不尽
水火烫伤,尿路结石
带下,妇女崩漏
交接出血,血
尿滴沥,尿淋漓不尽
皮肤瘙痒,劳伤疼痛
行为障碍,障
阴虚劳嗽,牙痛
疮疖肿毒,痈疽疔毒
高血压,风疹瘙痒
泄泻,小儿口疮
肛周破溃,破
赤白久痢,赤
疳疮,感冒发热
颈前部憋闷不适,颈
腰膝酸软,血崩
肝肿大,吐血
喉风,毒蛇咬伤
疔疮痈肿,小儿惊风
崩漏,中风半身不遂
呃逆,腹痛
口唇颤动,唇
呕吐,脚气肿痛
皮肤晦黯,肤
产后血晕,疮毒
乙脑,黄疸
白带,虫积腹痛
鼠乳痔,鼠
疮疡疖肿,疮疖
湿热带下,淋浊
烧伤,月经过多
主治风湿痹痛,跌打损伤
恐慌感,恐慌
食欲不振,惊痫
肢体不自主颤抖,肢
痢疾,恶疮肿疖
肛内肿物脱出,出
无名肿毒,药物中毒
贫血,咳血
臌胀,痛经
白带,腰膝无力
阴疽肿毒,黄疸
右下腹疼痛不适,痛
胸闷纳呆,外伤出血
疮疡肿毒,劳伤疼痛
崩漏,饮食积滞
痰热咳嗽,肿毒
鼻衄,流感
麻疹不透,咳嗽痰多
食积气滞,咯血
抱轮红赤,赤
右侧肢体活动不能,活
带下,腹泻
署湿泄泻,痛经
水肿,产后虚烦
产后少乳,少
跌打扭伤,咳血
肺热痰嗽,吐血
感冒,浮肿
风湿痹痛,中暑
水肿,寒疝作痛
乳痈,口干
四肢关节疼痛,关
脚踩棉花感,踩
左侧偏身麻木,左
便秘,寒湿痹痛
吐血,疝气疼痛
咳血,神经衰弱
体虚水肿,跌打损伤
痢疾,肢节拘挛
漆疮,目翳
毒蛇咬伤,夏季热
风寒感冒,刀伤出血
关节酸,酸
有经不调,头痛
口疮,胎动不安
小儿惊风,风湿疼痛
小便困难,无尿
腮部肿胀,部
劳伤,痔疮
感冒,疮痈肿痛
毒蛇咬伤,脘腹胀痛
崩漏,感冒发热
肌肤不仁,不
泄泻,口眼歪斜
跌打损伤,胞闷气喘
胃痛,乙脑
脾运不健,风湿痹痛
四肢麻痹,四
胃痛,小便淋沥涩痛
咽喉肿痛,忧郁失眠
崩漏,寒疝
喉蛾,痈肿
烫火伤,甲状腺肿
血瘀经闭,痈疽肿毒
带下,腰膝酸痛
带下,关节疼痛
风寒痹痛,黄疸
浑身关节疼痛,疼
结巴,语言含混不清
骨折,霍乱
崩漏,久不收口
关节疼痛,水火烫伤
腹泻,痈肿疮疡
筋骨疼痛,疮痈
无名肿毒,中暑发热
中风,风寒湿痹
淋证,创伤出血
经漏,漏
风寒感冒,泻痢
热毒泻痢,痛经
湿热内蕴,蕴
阳痿,食积腹胀
水肿腹胀,吐血
无名肿毒,尿路结石
小儿疳积,瘰疬
双手关节疼痛,手
疮疡肿毒,湿热腹泻
头晕目眩,眩
风湿痹痛,腹痛转筋
咳谈,水肿
血痢,腰痛
跌打肿痛,疮肿
面部潮红,潮
上腹部胀满,上腹胀满不适
疗疮,痈肿
贫血,经闭
肢体麻木,肺热咳嗽
崩漏,伤风咳嗽
胞衣不出,儿衣不出
小便不通,遗精
胸胁疼痛,衄血
皮肤风热,热
风湿痹痛,妇女阴痒
痢疾,麻疹透发不畅
肘部肿胀,肘
烫伤,缠腰火丹
产后瘀滞腹痛,腹痛
跌打损伤,晦暗紫黑
吃力血,乳痈
半身不遂,创伤出血
血痢,痢
膀胱结石,小儿疳积
头痛眩晕,乳痈
产后腹痛,四肢麻木
五心烦热,热
肢体痉挛抽搐,搐
水肿,维生素缺乏症
内伤瘀痛,风湿痹痛
四肢麻木,烫火伤
胃痛叶酸,咽喉肿痛
肛门停止排气,停
风热感冒,腹痛
颈后肿物增大,物
神疲乏力,带下
牙疳,风湿热痹
风湿痹痛,脱肛泻血
不思饮食,饮
毒蛇咬伤,红白痢疾
痢疾,内伤瘀痛
胸中痞闷,中
脾胃虚弱,消化不良
水泻,吐血
脱肛,心腹冷痛
小便淋涩,疮肿
咳嗽,疟疾
耳胀,胀
跌打肿痛,痈疖
水肿,胃痛吐酸
尿中泡沫增多,尿中有泡沫
坐骨神经痛,疮疡
肾虚腰痛,尿路结石
左侧肢体发木感,左半身麻木不适
干血痨,咽喉肿痛
健忘,阳痿
疟疾,斑疹
咳血,浮肿
头搏动感,头
便秘,高热
行走不稳,不
脘腹疼痛,食物中毒
遗尿,痛经
遗精,肺燥咳嗽
跌打瘀肿,疟疾
左侧肢体麻木,左半身麻木
跌打损伤,心腹冷痛
阴囊湿疹,湿疹
产后血崩,崩
疮疡肿毒,尿闭
虫蛇咬伤,脱肛
胸痛不适,不
带状疱疹,子宫脱垂
咳嗽,鼻疳
疝痛,小儿惊风
疮疖,跌打骨折
风热感冒,膨胀
痈肿疮毒,小便短赤
冻疮,疮毒
周身关节游走性肿痛,周
疝气,癫痫
皮肤瘙痒,手足麻木
跌打肿痛,麻疹
小便癃闭,毒蛇咬伤
带状疱疹,乳蛾
小便不利,风热头痛
脐下悸,下
心经郁热,郁
尿频,痈肿
小儿惊风,风热头痛
跌打损伤,伤暑发热
月经不调,劳热骨蒸
痈肿疮疡,痈疮肿毒
风湿骨痛,脱肛
漆疮,食积
湿热黄疸,甲状腺肿
臁疮,肠风下血
咽喉肿痛,心慌
烫伤,肺热咳血
食道灼热感,食
咳嗽,蛔厥腹痛
跌打损伤,小便热痛
疮疖肿毒,湿疹瘙痒
疮疡疖肿,口疮
疝气,咽痛
跌打损伤,眼睑裂伤
脚气,蛇伤
湿热泻痢,消化不良
